-5.42028329,1.87932823,-7.96743106,4.90400834,-7.69110516,10.31190294,3.72121001,-5.17068473,-10.63115030,5.93512404,4.32416698,5.16676824,5.87088611,-8.56892530,-3.25532876,-7.27039812,7.14368068,4.27131700,-2.79563049,-9.65224862,-4.25795352,-3.44814138,5.89155478,4.16225444,7.34812013,-1.48933571,-8.66961272,4.51732450,7.51948528,1.76463806,3.82543107,-0.85009218
-7.76612925,9.05007113,7.68343162,6.51194707,-3.20964115,-10.80107935,3.93652998,-1.61364211,-7.78008958,-1.00384275,-9.46041887,9.57839962,-5.27079887,4.21601925,-4.57210970,1.16011662,0.93586144,-5.95088606,9.39884581,6.14428170,6.22239371,6.47672170,2.37508007,6.39394635,-8.76073031,-6.13468359,-9.92359436,-4.18495479,-1.95487201,-3.56372441,5.61630080,-3.43999166
-7.47943520,8.07331562,8.20934792,6.41640938,-4.94586390,-8.75366880,4.03864246,-3.62606246,-5.91681606,-0.05282167,-10.60519559,7.16916267,-3.83275399,3.85149862,-2.37899782,-0.28138242,1.23078942,-5.87634298,10.08696006,6.62993759,8.07271493,7.78237674,1.34784983,8.38487283,-7.53171718,-7.73437825,-7.98608265,-4.63257551,-2.53382453,-3.32907744,6.90275990,-2.52540352
-1.27832311,10.69930041,5.20275970,1.09335533,-4.89256608,-7.41108049,-9.17346554,7.66586075,3.57646066,5.01542753,-9.17344461,9.86148557,6.69236748,-5.19507827,-8.89306073,-6.62851726,-3.67383321,-0.65588545,-0.97477631,-4.37988842,3.99253359,-5.63710306,-4.62291260,-2.82360085,-0.95254788,5.25185975,-5.81149937,-0.47359330,0.71767604,-8.44828052,2.78042662,-7.39383329
-4.73880265,1.64445123,-7.59491840,7.16062245,-8.16434819,9.53074186,5.65698843,-6.04354707,-8.29345114,6.55466619,4.13553420,4.34165250,6.26859115,-7.81119363,-3.10452706,-8.83826032,6.36010038,2.28180000,-2.03311200,-8.97900962,-4.37447718,-5.25705287,6.10566500,3.32017757,8.54026482,0.40598656,-7.77284531,4.34948638,6.70430291,1.40512484,6.00686889,0.74646264
-2.58784488,0.61262064,-6.53656052,5.40637169,-9.54180154,9.54227907,4.08229511,-6.96329415,-9.29812506,5.79557955,4.84766096,4.87955530,7.27656100,-7.99476968,-1.71646736,-7.28073415,7.57346202,3.63069558,-2.71324204,-8.51876938,-3.57469890,-2.95810425,3.92075005,2.03734996,9.16966078,1.30871217,-8.53699754,3.59590131,6.35822379,1.75906394,6.09577170,0.77251322
-4.28279759,1.74658608,-5.71187161,5.86691016,-8.30166129,9.43589284,4.63228963,-6.97865463,-9.04640728,6.51785585,5.98374995,5.55219537,4.69419394,-7.67876479,-3.13576097,-6.46575910,6.77573464,1.41353658,-4.17779458,-9.47349790,-4.62060533,-4.06894184,5.44881544,4.54719364,6.41406534,0.70781155,-8.08581880,4.61277828,3.56155494,1.74957897,3.41403120,0.18984700
-2.61906175,8.83019926,3.86768645,3.63877290,-7.25512723,-6.18064535,-10.71333514,8.50351145,3.07451139,4.25888567,-9.81525258,9.79819705,8.93764348,-7.51645449,-5.58147327,-7.24352711,-3.93507354,0.24724851,-1.78941788,-4.18588233,1.10288675,-6.18094235,-5.95125054,-2.13299862,-1.20513617,4.53259433,-5.80414099,-1.27226232,1.88800520,-10.49386865,2.61216912,-7.51387486
-9.13370311,7.48251316,9.32070742,6.16023831,-5.02937085,-9.49777694,3.59710698,-1.43002732,-7.97650067,-0.17987253,-10.41500595,7.75158743,-4.29107534,2.90047561,-5.43775095,-0.07133185,-0.13595288,-6.03577459,9.71052996,3.84388184,9.54899180,6.78436071,3.51718187,8.38870844,-9.47654346,-7.22232882,-8.74735893,-3.88469327,-2.32310812,-2.96023913,5.87550612,-2.80497061
-10.03088125,10.28567494,9.86727937,4.54402912,-3.14458232,-7.12407655,3.80903665,0.40116077,-7.34251566,-1.51328533,-8.94706058,8.43130534,-5.42769722,3.82400452,-5.43344374,1.39192725,0.05608388,-7.28785701,9.27786778,5.93562940,8.95390289,7.15388784,1.45191029,7.30444235,-8.45482986,-5.00532154,-9.09971716,-2.63397913,-0.77105287,-5.16103788,6.38817693,-0.69374061
